route_id,direction_id,direction,agency_id,agency_name
626,1,North,AC,AC Transit
623,0,South,AC,AC Transit
623,1,North,AC,AC Transit
628,0,North,AC,AC Transit
628,1,South,AC,AC Transit
706,0,West,AC,AC Transit
707,0,West,AC,AC Transit
232,0,North,AC,AC Transit
232,1,South,AC,AC Transit
606,0,West,AC,AC Transit
606,1,East,AC,AC Transit
607,0,North,AC,AC Transit
611,0,West,AC,AC Transit
611,1,East,AC,AC Transit
56,0,North,AC,AC Transit
56,1,South,AC,AC Transit
6,0,South,AC,AC Transit
6,1,North,AC,AC Transit
638,0,West,AC,AC Transit
638,1,East,AC,AC Transit
629,0,South,AC,AC Transit
629,1,North,AC,AC Transit
631,0,South,AC,AC Transit
631,1,North,AC,AC Transit
642,0,West,AC,AC Transit
646,0,East,AC,AC Transit
646,1,West,AC,AC Transit
648,0,East,AC,AC Transit
648,1,West,AC,AC Transit
649,0,West,AC,AC Transit
649,1,East,AC,AC Transit
650,0,West,AC,AC Transit
650,1,East,AC,AC Transit
652,0,East,AC,AC Transit
652,1,West,AC,AC Transit
710,0,North,AC,AC Transit
710,1,South,AC,AC Transit
72,0,North,AC,AC Transit
72,1,South,AC,AC Transit
34,0,North,AC,AC Transit
34,1,South,AC,AC Transit
35,0,South,AC,AC Transit
35,1,North,AC,AC Transit
41,0,South,AC,AC Transit
41,1,North,AC,AC Transit
J,0,East,AC,AC Transit
J,1,West,AC,AC Transit
94,0,West,AC,AC Transit
94,1,East,AC,AC Transit
805,0,West,AC,AC Transit
805,1,East,AC,AC Transit
M,0,West,AC,AC Transit
M,1,East,AC,AC Transit
NX1,0,East,AC,AC Transit
NX3,0,East,AC,AC Transit
NX3,1,West,AC,AC Transit
86,0,North,AC,AC Transit
86,1,South,AC,AC Transit
NX4,0,West,AC,AC Transit
NX4,1,East,AC,AC Transit
OX,0,West,AC,AC Transit
OX,1,East,AC,AC Transit
P,0,East,AC,AC Transit
P,1,West,AC,AC Transit
SB,0,East,AC,AC Transit
SB,1,West,AC,AC Transit
10,0,South,AC,AC Transit
10,1,North,AC,AC Transit
654,0,East,AC,AC Transit
654,1,West,AC,AC Transit
V,0,East,AC,AC Transit
V,1,West,AC,AC Transit
E,0,West,AC,AC Transit
E,1,East,AC,AC Transit
653,0,South,AC,AC Transit
653,1,North,AC,AC Transit
