service_id,date,exception_type,agency_id,agency_name
72970,20190218,2,3D,Tri Delta Transit
72970,20190527,2,3D,Tri Delta Transit
72970,20190704,2,3D,Tri Delta Transit
72970,20190902,2,3D,Tri Delta Transit
72970,20191111,2,3D,Tri Delta Transit
72970,20191128,2,3D,Tri Delta Transit
72970,20191129,2,3D,Tri Delta Transit
72970,20191224,2,3D,Tri Delta Transit
72970,20191225,2,3D,Tri Delta Transit
72971,20190218,2,3D,Tri Delta Transit
72971,20190527,2,3D,Tri Delta Transit
72971,20190704,2,3D,Tri Delta Transit
72971,20190902,2,3D,Tri Delta Transit
72971,20191111,2,3D,Tri Delta Transit
72971,20191128,2,3D,Tri Delta Transit
72971,20191129,2,3D,Tri Delta Transit
72971,20191224,2,3D,Tri Delta Transit
72971,20191225,2,3D,Tri Delta Transit
74640,20190218,1,3D,Tri Delta Transit
74640,20190527,1,3D,Tri Delta Transit
74640,20190704,1,3D,Tri Delta Transit
74640,20190902,1,3D,Tri Delta Transit
74640,20191111,1,3D,Tri Delta Transit
74640,20191128,1,3D,Tri Delta Transit
74640,20191129,1,3D,Tri Delta Transit
74640,20191224,1,3D,Tri Delta Transit
74640,20191225,1,3D,Tri Delta Transit
74642,20190218,1,3D,Tri Delta Transit
74642,20190527,1,3D,Tri Delta Transit
74642,20190704,1,3D,Tri Delta Transit
74642,20190902,1,3D,Tri Delta Transit
74642,20191111,1,3D,Tri Delta Transit
74642,20191128,1,3D,Tri Delta Transit
74642,20191129,1,3D,Tri Delta Transit
74642,20191224,1,3D,Tri Delta Transit
74642,20191225,1,3D,Tri Delta Transit
72905,20190527,1,AC,AC Transit
72906,20190526,1,AC,AC Transit
72907,20190527,2,AC,AC Transit
72908,20190527,2,AC,AC Transit
72909,20190527,2,AC,AC Transit
74206,20190527,2,AC,AC Transit
72910,20190527,2,AC,AC Transit
73210,20190527,2,AC,AC Transit
72908,20190531,2,AC,AC Transit
72910,20190531,2,AC,AC Transit
73210,20190531,2,AC,AC Transit
72908,20190603,2,AC,AC Transit
72910,20190603,2,AC,AC Transit
73210,20190603,2,AC,AC Transit
72908,20190604,2,AC,AC Transit
72910,20190604,2,AC,AC Transit
73210,20190604,2,AC,AC Transit
72908,20190605,2,AC,AC Transit
72910,20190605,2,AC,AC Transit
73210,20190605,2,AC,AC Transit
72908,20190606,2,AC,AC Transit
72910,20190606,2,AC,AC Transit
73210,20190606,2,AC,AC Transit
72908,20190607,2,AC,AC Transit
72910,20190607,2,AC,AC Transit
73210,20190607,2,AC,AC Transit
72908,20190610,2,AC,AC Transit
72910,20190610,2,AC,AC Transit
73210,20190610,2,AC,AC Transit
72908,20190611,2,AC,AC Transit
72910,20190611,2,AC,AC Transit
73210,20190611,2,AC,AC Transit
72908,20190612,2,AC,AC Transit
72910,20190612,2,AC,AC Transit
73210,20190612,2,AC,AC Transit
72908,20190613,2,AC,AC Transit
72910,20190613,2,AC,AC Transit
73210,20190613,2,AC,AC Transit
72908,20190614,2,AC,AC Transit
72910,20190614,2,AC,AC Transit
73210,20190614,2,AC,AC Transit
73213,20190527,1,AC,AC Transit
73214,20190527,2,AC,AC Transit
73215,20190527,2,AC,AC Transit
73216,20190527,2,AC,AC Transit
74207,20190527,2,AC,AC Transit
73219,20190527,2,AC,AC Transit
73218,20190527,2,AC,AC Transit
73215,20190402,2,AC,AC Transit
73216,20190402,2,AC,AC Transit
74207,20190402,2,AC,AC Transit
73219,20190402,2,AC,AC Transit
73218,20190402,2,AC,AC Transit
73215,20190403,2,AC,AC Transit
73216,20190403,2,AC,AC Transit
74207,20190403,2,AC,AC Transit
73219,20190403,2,AC,AC Transit
73218,20190403,2,AC,AC Transit
73215,20190404,2,AC,AC Transit
73216,20190404,2,AC,AC Transit
74207,20190404,2,AC,AC Transit
73219,20190404,2,AC,AC Transit
73218,20190404,2,AC,AC Transit
73215,20190405,2,AC,AC Transit
73216,20190405,2,AC,AC Transit
74207,20190405,2,AC,AC Transit
73219,20190405,2,AC,AC Transit
73218,20190405,2,AC,AC Transit
73215,20190610,2,AC,AC Transit
73216,20190610,2,AC,AC Transit
74207,20190610,2,AC,AC Transit
73219,20190610,2,AC,AC Transit
73218,20190610,2,AC,AC Transit
73215,20190611,2,AC,AC Transit
73216,20190611,2,AC,AC Transit
74207,20190611,2,AC,AC Transit
73219,20190611,2,AC,AC Transit
73218,20190611,2,AC,AC Transit
73215,20190612,2,AC,AC Transit
73216,20190612,2,AC,AC Transit
74207,20190612,2,AC,AC Transit
73219,20190612,2,AC,AC Transit
73218,20190612,2,AC,AC Transit
73215,20190613,2,AC,AC Transit
73216,20190613,2,AC,AC Transit
74207,20190613,2,AC,AC Transit
73219,20190613,2,AC,AC Transit
73218,20190613,2,AC,AC Transit
73215,20190614,2,AC,AC Transit
73216,20190614,2,AC,AC Transit
74207,20190614,2,AC,AC Transit
73219,20190614,2,AC,AC Transit
73218,20190614,2,AC,AC Transit
74295,20190527,1,AC,AC Transit
74296,20190526,1,AC,AC Transit
74297,20190527,2,AC,AC Transit
74298,20190526,2,AC,AC Transit
74299,20190527,2,AC,AC Transit
74300,20190527,2,AC,AC Transit
74307,20190527,2,AC,AC Transit
74308,20190527,2,AC,AC Transit
74309,20190527,2,AC,AC Transit
74301,20190527,2,AC,AC Transit
74302,20190527,2,AC,AC Transit
74303,20190527,2,AC,AC Transit
74304,20190527,2,AC,AC Transit
74305,20190527,2,AC,AC Transit
74306,20190527,2,AC,AC Transit
74309,20190402,2,AC,AC Transit
74301,20190402,2,AC,AC Transit
74302,20190402,2,AC,AC Transit
74304,20190402,2,AC,AC Transit
74309,20190403,2,AC,AC Transit
74301,20190403,2,AC,AC Transit
74302,20190403,2,AC,AC Transit
74304,20190403,2,AC,AC Transit
74309,20190404,2,AC,AC Transit
74301,20190404,2,AC,AC Transit
74302,20190404,2,AC,AC Transit
74304,20190404,2,AC,AC Transit
74309,20190405,2,AC,AC Transit
74301,20190405,2,AC,AC Transit
74302,20190405,2,AC,AC Transit
74304,20190405,2,AC,AC Transit
74307,20190531,2,AC,AC Transit
74303,20190531,2,AC,AC Transit
74305,20190531,2,AC,AC Transit
74307,20190603,2,AC,AC Transit
74303,20190603,2,AC,AC Transit
74305,20190603,2,AC,AC Transit
74307,20190604,2,AC,AC Transit
74303,20190604,2,AC,AC Transit
74305,20190604,2,AC,AC Transit
74307,20190605,2,AC,AC Transit
74303,20190605,2,AC,AC Transit
74305,20190605,2,AC,AC Transit
74307,20190606,2,AC,AC Transit
74303,20190606,2,AC,AC Transit
