service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,agency_id,agency_name
72969,1,1,1,1,1,0,0,20180930,20190209,3D,Tri Delta Transit
72970,1,1,1,1,1,0,0,20180930,20201231,3D,Tri Delta Transit
72971,1,1,1,1,1,0,0,20190210,20201231,3D,Tri Delta Transit
74637,0,0,0,0,0,1,0,20180930,20190209,3D,Tri Delta Transit
74638,0,0,0,0,0,1,0,20180930,20201231,3D,Tri Delta Transit
74639,0,0,0,0,0,1,0,20190210,20201231,3D,Tri Delta Transit
74640,0,0,0,0,0,0,1,20180930,20201231,3D,Tri Delta Transit
74641,0,0,0,0,0,0,1,20180930,20190209,3D,Tri Delta Transit
74642,0,0,0,0,0,0,1,20190210,20201231,3D,Tri Delta Transit
74317,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74315,1,1,1,1,0,0,1,20190402,20190613,AC,AC Transit
74316,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74312,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74314,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74313,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
72905,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
72906,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
72907,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
72908,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
72909,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
72910,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74206,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
73210,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
73211,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74318,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
73212,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74319,0,0,0,1,0,0,0,20190402,20190614,AC,AC Transit
73213,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74320,1,1,1,0,1,0,0,20190402,20190614,AC,AC Transit
73214,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74321,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
73215,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74322,1,1,1,1,0,0,0,20190402,20190614,AC,AC Transit
73216,1,1,1,0,1,0,0,20190402,20190614,AC,AC Transit
74323,0,1,0,0,0,0,0,20190402,20190614,AC,AC Transit
74207,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74324,1,0,1,1,1,0,0,20190402,20190614,AC,AC Transit
73218,0,0,0,1,0,0,0,20190402,20190614,AC,AC Transit
74325,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
73219,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74326,1,1,0,0,1,0,0,20190402,20190614,AC,AC Transit
73220,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74327,0,0,1,1,0,0,0,20190402,20190614,AC,AC Transit
74295,0,0,0,0,0,0,1,20190402,20190609,AC,AC Transit
74328,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74296,0,0,0,0,0,1,0,20190402,20190608,AC,AC Transit
74329,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74297,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74330,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74298,1,1,1,1,0,0,1,20190402,20190613,AC,AC Transit
74331,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74299,1,0,1,0,1,0,0,20190402,20190614,AC,AC Transit
74300,0,1,0,1,0,0,0,20190402,20190614,AC,AC Transit
74301,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
74302,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74303,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74304,1,1,0,1,1,0,0,20190402,20190614,AC,AC Transit
74305,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74306,0,0,1,0,0,0,0,20190402,20190614,AC,AC Transit
74307,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74308,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74309,1,1,1,1,1,0,0,20190402,20190614,AC,AC Transit
74310,0,0,0,0,0,1,0,20190402,20190615,AC,AC Transit
74311,0,0,0,0,1,0,0,20190402,20190614,AC,AC Transit
72761,0,0,0,0,0,1,1,20180507,20200331,AM,Capitol Corridor Joint Powers Authority
72762,1,1,1,1,1,0,0,20180507,20200331,AM,Capitol Corridor Joint Powers Authority
72953,1,1,1,1,1,0,0,20190211,20200210,BA,Bay Area Rapid Transit
72954,0,0,0,0,0,1,0,20190211,20200210,BA,Bay Area Rapid Transit
72955,0,0,0,0,0,0,1,20190211,20200210,BA,Bay Area Rapid Transit
73059,0,0,0,0,0,1,0,20190310,20190608,CC,County Connection
73060,0,0,0,0,0,0,1,20190310,20190608,CC,County Connection
74338,0,0,0,1,1,0,0,20190310,20190608,CC,County Connection
74339,1,1,1,1,0,0,0,20190310,20190608,CC,County Connection
74340,1,1,1,1,1,0,0,20190310,20190608,CC,County Connection
74341,0,0,0,0,1,0,0,20190310,20190608,CC,County Connection
72777,1,1,1,1,1,0,0,20130311,20190519,CE,Altamont Corridor Express
73306,1,1,1,1,1,0,0,20190318,20200420,CM,Commute.org Shuttles
74709,1,1,1,1,1,0,0,20180409,20200420,CM,Commute.org Shuttles
74710,1,0,0,0,0,0,0,20180409,20200420,CM,Commute.org Shuttles
72981,0,0,0,0,0,1,1,20190401,20200101,CT,Caltrain
72982,0,0,0,0,0,1,0,20190401,20200101,CT,Caltrain
72983,1,1,1,1,1,0,0,20190401,20200101,CT,Caltrain
74732,0,0,0,0,0,0,0,20190601,20190623,CT,Caltrain
74733,0,0,0,0,0,0,0,20190601,20190622,CT,Caltrain
74734,0,0,0,0,0,0,0,20190515,20190515,CT,Caltrain
74735,0,0,0,0,0,0,0,20190608,20190608,CT,Caltrain
