feed_publisher_name,feed_publisher_url,feed_lang,feed_start_date,feed_end_date,feed_version,agency_id,agency_name
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180930,20201231,20190207,3D,Tri Delta Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190402,20190615,20190403,AC,AC Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180507,20200331,20190212,AM,Capitol Corridor Joint Powers Authority
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190211,20200210,20190328,BA,Bay Area Rapid Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190310,20190608,20190311,CC,County Connection
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20130311,20190519,20180522,CE,Altamont Corridor Express
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180409,20200420,20190325,CM,Commute.org Shuttles
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190401,20200101,20190411,CT,Caltrain
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190401,20190614,20190331,DE,Dumbarton Express Consortium
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20181130,20191231,20190225,EM,Emery Go-Round
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180701,20190630,20190318,FS,Fairfield and Suisun Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190325,20190608,20190324,GF,Golden Gate Ferry
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190414,20190608,20190413,GG,Golden Gate Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190302,20191027,20190418,MA,Marin Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20170410,20181123,20180522,MS,Stanford Marguerite Shuttle
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180815,20190531,20181218,PE,Petaluma Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20170201,20201201,20190103,RV,Rio Vista Delta Breeze
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20170825,20201231,20190320,SA,Sonoma Marin Area Rail Transit
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20181029,20200101,20190313,SB,San Francisco Bay Ferry
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190408,20190630,20190407,SC,VTA
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190413,20190614,20190412,SF,San Francisco Municipal Transportation Agency
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190210,20190622,20190209,SM,SamTrans
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180814,20200101,20190415,SO,Sonoma County Transit LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180727,20190727,20180730,SR,Santa Rosa CityBus LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20181001,20190629,20190310,ST,SolTrans LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180814,20200418,20180920,TD,Tideline Marine Group Inc LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190101,20191231,20190103,UC,Union City Transit LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180608,20191224,20190221,VC,Vacaville City Coach LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20180823,20190823,20180920,VN,Napa LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20160601,20200101,20190307,WC,WestCat (Western Contra Costa) LastGenerated
511 SF Bay,http://511.org/developer-resources_transit-data-feed.asp,en,20190304,20190531,20190303,WH,Livermore Amador Valley Transit Authority LastGenerated
