route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_name
14,AC,14,W. Oaklaand/ Fruitvale Bart,,3,,,,AC Transit
60,AC,60,CSUEB\ Hayward Bart\ Chabot College,,3,,,,AC Transit
62,AC,62,W. Oakland Bart\ Fruitvale Bart,,3,,,,AC Transit
40,AC,40,Dtn. Oakland\ Eastmont T.C.\ Bayfair Bart,,3,,,,AC Transit
18,AC,18,San Pablo & Monroe\ Berkeley\ Merritt Bart,,3,,,,AC Transit
215,AC,215,Fremont BART-Mission-Warm Springs-Industrial Area,,3,,,,AC Transit
705,AC,705,Salesforce Transit Center\20th&Broadway,,3,,,,AC Transit
339,AC,339,Fruitvale Bart\ Chabot Observatory,,3,,,,AC Transit
99,AC,99,Hayward\ Union City\ Fremont Bart,,3,,,,AC Transit
39,AC,39,Fruitvale Bart\ Skyline High School,,3,,,,AC Transit
21,AC,21,Fruitvale Ave\ Alameda\ Oakland Airport,,3,,,,AC Transit
210,AC,210,Union Landing - Frmt. Blvd. - Ohlone,,3,,,,AC Transit
1,AC,1,San Leandro Bart\ Dtn. Oakland,,3,,,,AC Transit
W,AC,W,San Francisco\ Alameda,,3,,,,AC Transit
FS,AC,FS,San Francisco - Berkeley,,3,,,,AC Transit
98,AC,98,Coliseum Bart\ 98th Ave\ Eastmont T.C.,,3,,,,AC Transit
840,AC,840,OWL\ Dtn. Oakland\ Eastmont T. C.,,3,,,,AC Transit
239,AC,239,Fremont BART-Warm Springs,,3,,,,AC Transit
251,AC,251,Fremont BART-Mowry-Thornton,,3,,,,AC Transit
356,AC,356,Alameda Senior Shuttle,,3,,,,AC Transit
NX,AC,NX,East Oakland\ San Francisco,,3,,,,AC Transit
B,AC,B,San Francisco - Trestle Glen,,3,,,,AC Transit
57,AC,57,Emeryville\ Macarthur Blvd\ Foothill Sq,,3,,,,AC Transit
83,AC,83,Hayward Bart\ S. Hayward Bart,,3,,,,AC Transit
376,AC,376,North Richmond Shuttle,,3,,,,AC Transit
800,AC,800,OWL\ San Francisco\ Dtn. Oakland\ Richmond Bart,,3,,,,AC Transit
851,AC,851,OWL - ALAMEDA/DNT BERK,,3,,,,AC Transit
802,AC,802,OWL- Berkeley-Emeryville/Dnt-Oak,,3,,,,AC Transit
CB,AC,CB,San Francisco - Montclair,,3,,,,AC Transit
F,AC,F,San Francisco - Berkeley,,3,,,,AC Transit
H,AC,H,San Francisco - Richmond,,3,,,,AC Transit
