layer_name,feature_count
tt_a2,0
tt_a3,0
tt_a4,0
tt_a5,0
tt_a6,0
tt_a7,0
tt_aa,0
tt_as,0
tt_lc,0
tt_oa04,0
tt_oa06,0
tt_oa09,0
tt_oa11,0
tt_00,4424
tt_01,5679
tt_02,1315
tt_03,9244
tt_04,45444
tt_05,29143
tt_06,1060312
tt_07,1367160
tt_08,52138
tt_a0,7
tt_a1,60
tt_a8,3282
tt_a9,37083
tt_ap,1526
tt_bl,327130
tt_bu,996
tt_cf,3346
tt_fe,151
tt_gc,3283791
tt_jc,2837649
tt_ln,1151318
tt_ls,13661
tt_lu,17305
tt_mn,188770
tt_nw,3429674
tt_oa01,8057
tt_oa02,23212
tt_oa03,697576
tt_oa05,35
tt_oa07,38
tt_oa08,105
tt_oa10,750
tt_pd,1754
tt_pi,10807
tt_ps,141391
tt_rf,311
tt_rr,16711
tt_sg,29042
tt_sm,3895
tt_ts,1511
tt_wa,13818
tt_wl,132186
